As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
12/06/2021,10,7,7,2 Hearts,Movie,,"Jun 2, 2021",10,56
14/06/2021,2,2,1,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",10,97
19/06/2021,6,4,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",10,53
19/06/2021,9,9,-,Ragnarok,TV Show,Yes,"Jan 31, 2020",10,41
20/06/2021,2,2,1,Manifest,TV Show,,"Jun 10, 2021",10,95
21/06/2021,3,3,3,Wish Dragon,Movie,Yes,"Jun 11, 2021",10,83
28/06/2021,3,3,1,Fatherhood,Movie,Yes,"Jun 18, 2021",10,92
05/07/2021,2,3,4,Sex/Life,TV Show,Yes,"Jun 25, 2021",10,77
05/07/2021,6,5,1,The Ice Road,Movie,Yes,"Jun 25, 2021",10,79
12/07/2021,7,7,3,Fear Street Part 1: 1994,Movie,Yes,"Jul 2, 2021",10,58
29/07/2021,2,-,-,Love is Blind,TV Show,Yes,"Feb 13, 2020",10,49
10/08/2021,9,7,4,The Vault,Movie,,"Jul 31, 2021",10,51
13/08/2021,10,9,4,Top Secret UFO Projects: De…,TV Show,Yes,"Aug 3, 2021",10,37
14/08/2021,10,8,4,Cocaine Cowboys: The Kings …,TV Show,Yes,"Aug 4, 2021",10,58
16/08/2021,3,3,1,Vivo,Movie,Yes,"Aug 6, 2021",10,88
16/08/2021,7,7,4,Hit & Run,TV Show,Yes,"Aug 6, 2021",10,57
30/08/2021,5,4,1,Sweet Girl,Movie,Yes,"Aug 20, 2021",10,88
30/08/2021,8,7,2,The Loud House Movie,Movie,Yes,"Aug 20, 2021",10,68
04/09/2021,1,1,2,Clickbait,TV Show,Yes,"Aug 25, 2021",10,95
11/09/2021,4,2,4,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",10,77
14/09/2021,9,9,7,Sharkdog,TV Show,Yes,"Sep 3, 2021",10,31
20/09/2021,6,5,1,Kate,Movie,Yes,"Sep 10, 2021",10,81
27/09/2021,6,7,1,Sex Education,TV Show,Yes,"Jan 11, 2019",10,84
28/09/2021,1,1,2,Squid Game,TV Show,Yes,"Sep 17, 2021",10,91
04/10/2021,6,5,4,My Little Pony: A New Gener…,Movie,Yes,"Sep 24, 2021",10,63
04/10/2021,10,10,5,Grown Ups,Movie,,"Sep 20, 2021",10,49
05/10/2021,5,4,2,Midnight Mass,TV Show,Yes,"Sep 24, 2021",10,75
11/10/2021,2,2,3,Maid,TV Show,Yes,"Oct 1, 2021",10,84
11/10/2021,5,5,2,The Guilty,Movie,Yes,"Oct 1, 2021",10,70
13/10/2021,5,4,2,On My Block,TV Show,Yes,"Mar 16, 2018",10,70
13/10/2021,8,10,-,The Blacklist,TV Show,,"Sep 15, 2014",10,28
16/10/2021,5,4,3,Dave Chappelle: The Closer,Stand-Up Comedy,Yes,"Oct 5, 2021",10,74
22/10/2021,10,9,-,In the Dark,TV Show,,"Jul 5, 2019",10,16
25/10/2021,1,1,1,You,TV Show,,"Dec 26, 2018",10,100
01/11/2021,6,8,3,Locke & Key,TV Show,Yes,"Feb 7, 2020",10,65
13/11/2021,7,4,1,The Harder They Fall,Movie,Yes,"Nov 3, 2021",10,82
15/11/2021,2,2,1,Love Hard,Movie,Yes,"Nov 5, 2021",10,95
15/11/2021,4,6,4,Narcos: Mexico,TV Show,Yes,"Nov 16, 2018",10,67
22/11/2021,1,1,1,Red Notice,Movie,Yes,"Nov 12, 2021",10,99
27/11/2021,3,4,-,Selling Sunset,TV Show,Yes,"Mar 22, 2019",10,46
27/11/2021,6,7,5,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",10,57
29/11/2021,7,8,2,Cowboy Bebop,TV Show,Yes,"Nov 19, 2021",10,69
04/12/2021,4,2,1,True Story,TV Show,Yes,"Nov 24, 2021",10,95
11/12/2021,2,2,2,Lost in Space,TV Show,Yes,"Apr 13, 2018",10,92
20/12/2021,2,2,1,The Unforgivable,Movie,Yes,"Dec 10, 2021",10,97
20/12/2021,4,5,3,Back to the Outback,Movie,Yes,"Dec 10, 2021",10,65
21/12/2021,9,7,2,The Shack,Movie,,"Dec 10, 2021",10,68
22/12/2021,1,1,5,The Witcher,TV Show,Yes,"Dec 20, 2019",10,74
24/12/2021,5,8,-,The Christmas Chronicles,Movie,Yes,"Nov 22, 2018",10,32
01/01/2022,5,-,-,Queer Eye,TV Show,Yes,"Feb 7, 2018",10,44
03/01/2022,2,2,1,Donât Look Up,Movie,Yes,"Dec 24, 2021",10,97
06/01/2022,9,-,-,The Town,Movie,,"Jul 1, 2020",10,34
10/01/2022,2,2,3,Stay Close,TV Show,Yes,"Dec 31, 2021",10,80
22/01/2022,5,4,1,Cheer,TV Show,Yes,"Jan 8, 2020",10,88
23/01/2022,8,10,2,Brazen,Movie,Yes,"Jan 13, 2022",10,63
